solver,grid,row,col,value
amgx,0,10,9,-1.000000000000e+00
amgx,0,10,10,4.000000000000e+00
amgx,0,10,11,-1.000000000000e+00
amgx,0,10,14,-1.000000000000e+00
amgx,0,11,7,-1.000000000000e+00
amgx,0,11,10,-1.000000000000e+00
amgx,0,11,11,5.000000000000e+00
amgx,0,11,15,-1.000000000000e+00
amgx,0,12,8,-1.000000000000e+00
amgx,0,12,12,5.000000000000e+00
amgx,0,12,13,-1.000000000000e+00
amgx,0,12,16,-1.000000000000e+00
amgx,0,13,9,-1.000000000000e+00
amgx,0,13,12,-1.000000000000e+00
amgx,0,13,13,4.000000000000e+00
amgx,0,13,14,-1.000000000000e+00
amgx,0,13,17,-1.000000000000e+00
amgx,0,14,10,-1.000000000000e+00
amgx,0,14,13,-1.000000000000e+00
amgx,0,14,14,4.000000000000e+00
amgx,0,14,15,-1.000000000000e+00
amgx,0,14,18,-1.000000000000e+00
amgx,0,15,11,-1.000000000000e+00
amgx,0,15,14,-1.000000000000e+00
amgx,0,15,15,5.000000000000e+00
amgx,0,15,19,-1.000000000000e+00
amgx,0,16,12,-1.000000000000e+00
amgx,0,16,16,6.000000000000e+00
amgx,0,16,17,-1.000000000000e+00
amgx,0,17,13,-1.000000000000e+00
amgx,0,17,16,-1.000000000000e+00
amgx,0,17,17,5.000000000000e+00
amgx,0,17,18,-1.000000000000e+00
amgx,0,18,14,-1.000000000000e+00
amgx,0,18,17,-1.000000000000e+00
amgx,0,18,18,5.000000000000e+00
amgx,0,18,19,-1.000000000000e+00
amgx,0,19,15,-1.000000000000e+00
amgx,0,19,18,-1.000000000000e+00
amgx,0,19,19,6.000000000000e+00
amgx,1,0,0,5.000000000000e+00
amgx,1,0,1,-1.000000000000e+00
amgx,1,0,2,-2.000000000000e+00
amgx,1,1,0,-1.000000000000e+00
amgx,1,1,1,5.000000000000e+00
amgx,1,1,3,-2.000000000000e+00
amgx,1,2,0,-2.000000000000e+00
amgx,1,2,2,7.000000000000e+00
amgx,1,2,3,-1.000000000000e+00
amgx,1,2,4,-2.000000000000e+00
amgx,1,3,1,-2.000000000000e+00
amgx,1,3,2,-1.000000000000e+00
